,action,prob,state
14,70,0.5074247435098939,"hand0:['(0.0, 0.0)', '(0.0, 3.0)', '(1.0, 4.0)', '(2.0, 5.0)', '(2.0, 6.0)', '(3.0, 6.0)', '(5.0, 5.0)'] hand1:['(1.0, 1.0)', '(1.0, 3.0)', '(2.0, 2.0)', '(2.0, 3.0)', '(2.0, 4.0)', '(3.0, 5.0)', '(5.0, 6.0)'] history:[]"
15,0,0.36924280464801745,"hand0:['(0.0, 0.0)', '(0.0, 3.0)', '(1.0, 4.0)', '(2.0, 5.0)', '(2.0, 6.0)', '(3.0, 6.0)', '(5.0, 5.0)'] hand1:['(1.0, 1.0)', '(1.0, 3.0)', '(2.0, 2.0)', '(2.0, 3.0)', '(2.0, 4.0)', '(3.0, 5.0)', '(5.0, 6.0)'] history:[]"
16,45,0.041822001521179646,"hand0:['(0.0, 0.0)', '(0.0, 3.0)', '(1.0, 4.0)', '(2.0, 5.0)', '(2.0, 6.0)', '(3.0, 6.0)', '(5.0, 5.0)'] hand1:['(1.0, 1.0)', '(1.0, 3.0)', '(2.0, 2.0)', '(2.0, 3.0)', '(2.0, 4.0)', '(3.0, 5.0)', '(5.0, 6.0)'] history:[]"
17,28,0.036267141321538895,"hand0:['(0.0, 0.0)', '(0.0, 3.0)', '(1.0, 4.0)', '(2.0, 5.0)', '(2.0, 6.0)', '(3.0, 6.0)', '(5.0, 5.0)'] hand1:['(1.0, 1.0)', '(1.0, 3.0)', '(2.0, 2.0)', '(2.0, 3.0)', '(2.0, 4.0)', '(3.0, 5.0)', '(5.0, 6.0)'] history:[]"
18,59,0.019467166319212206,"hand0:['(0.0, 0.0)', '(0.0, 3.0)', '(1.0, 4.0)', '(2.0, 5.0)', '(2.0, 6.0)', '(3.0, 6.0)', '(5.0, 5.0)'] hand1:['(1.0, 1.0)', '(1.0, 3.0)', '(2.0, 2.0)', '(2.0, 3.0)', '(2.0, 4.0)', '(3.0, 5.0)', '(5.0, 6.0)'] history:[]"
19,8,0.015318363658550337,"hand0:['(0.0, 0.0)', '(0.0, 3.0)', '(1.0, 4.0)', '(2.0, 5.0)', '(2.0, 6.0)', '(3.0, 6.0)', '(5.0, 5.0)'] hand1:['(1.0, 1.0)', '(1.0, 3.0)', '(2.0, 2.0)', '(2.0, 3.0)', '(2.0, 4.0)', '(3.0, 5.0)', '(5.0, 6.0)'] history:[]"
20,48,0.010457779021607607,"hand0:['(0.0, 0.0)', '(0.0, 3.0)', '(1.0, 4.0)', '(2.0, 5.0)', '(2.0, 6.0)', '(3.0, 6.0)', '(5.0, 5.0)'] hand1:['(1.0, 1.0)', '(1.0, 3.0)', '(2.0, 2.0)', '(2.0, 3.0)', '(2.0, 4.0)', '(3.0, 5.0)', '(5.0, 6.0)'] history:[]"
21,62,0.8632132466411839,"hand0:['(0.0, 1.0)', '(0.0, 6.0)', '(1.0, 1.0)', '(1.0, 6.0)', '(3.0, 4.0)', '(4.0, 4.0)', '(4.0, 5.0)'] hand1:['(0.0, 2.0)', '(0.0, 3.0)', '(0.0, 5.0)', '(2.0, 3.0)', '(3.0, 5.0)', '(5.0, 5.0)', '(6.0, 6.0)'] history:[]"
22,64,0.055793033672051434,"hand0:['(0.0, 1.0)', '(0.0, 6.0)', '(1.0, 1.0)', '(1.0, 6.0)', '(3.0, 4.0)', '(4.0, 4.0)', '(4.0, 5.0)'] hand1:['(0.0, 2.0)', '(0.0, 3.0)', '(0.0, 5.0)', '(2.0, 3.0)', '(3.0, 5.0)', '(5.0, 5.0)', '(6.0, 6.0)'] history:[]"
23,20,0.03381873334608686,"hand0:['(0.0, 1.0)', '(0.0, 6.0)', '(1.0, 1.0)', '(1.0, 6.0)', '(3.0, 4.0)', '(4.0, 4.0)', '(4.0, 5.0)'] hand1:['(0.0, 2.0)', '(0.0, 3.0)', '(0.0, 5.0)', '(2.0, 3.0)', '(3.0, 5.0)', '(5.0, 5.0)', '(6.0, 6.0)'] history:[]"
