,Iteration,Rewards
185,186,[ 2.718 -2.552]
186,187,[ 3.189 -3.161]
187,188,[ 2.447 -2.423]
188,189,[ 3.303 -2.842]
189,190,[ 2.875 -3.066]
190,191,[ 2.631 -3.018]
191,192,[ 1.877 -2.216]
192,193,[ 4.777 -2.102]
193,194,[ 2.527 -2.839]
194,195,[ 2.078 -3.266]
195,196,[ 2.454 -3.158]
196,197,[ 2.249 -3.168]
197,198,[ 2.7   -3.623]
198,199,[ 3.971 -3.473]
199,200,[ 3.354 -2.837]
200,201,[ 2.277 -2.176]
201,202,[ 3.538 -3.067]
202,203,[ 2.775 -3.726]
203,204,[ 3.395 -3.221]
204,205,[ 2.478 -2.964]
205,206,[ 3.293 -3.806]
206,207,[ 2.336 -3.803]
207,208,[ 2.581 -2.103]
208,209,[ 3.069 -2.831]
209,210,[ 2.499 -2.754]
210,211,[ 2.902 -2.949]
211,212,[ 3.792 -2.098]
212,213,[ 3.009 -3.8  ]
213,214,[ 2.861 -3.218]
214,215,[ 2.621 -2.456]
215,216,[ 3.439 -1.969]
216,217,[ 2.652 -3.425]
217,218,[ 2.691 -2.174]
218,219,[ 3.338 -3.564]
219,220,[ 3.477 -3.036]
220,221,[ 2.698 -2.873]
221,222,[ 3.474 -2.704]
222,223,[ 2.586 -2.904]
223,224,[ 3.103 -4.22 ]
224,225,[ 2.623 -3.167]
225,226,[ 3.324 -2.856]
226,227,[ 3.017 -4.094]
227,228,[ 2.588 -2.462]
228,229,[ 2.793 -2.639]
229,230,[ 2.824 -3.426]
230,231,[ 2.829 -3.417]
231,232,[ 3.074 -3.999]
232,233,[ 2.763 -3.498]
233,234,[ 3.268 -2.168]
234,235,[ 2.435 -2.562]
235,236,[ 3.237 -2.668]
236,237,[ 3.175 -2.865]
237,238,[ 1.936 -3.075]
238,239,[ 3.018 -2.861]
239,240,[ 3.775 -3.598]
240,241,[ 2.442 -2.76 ]
241,242,[ 3.621 -4.046]
242,243,[ 2.624 -3.673]
243,244,[ 2.889 -3.054]
244,245,[ 2.479 -2.512]
245,246,[ 2.485 -3.041]
246,247,[ 2.786 -3.352]
247,248,[ 2.447 -2.646]
248,249,[ 3.973 -3.072]
249,250,[ 3.672 -2.789]
250,251,[ 3.702 -3.02 ]
251,252,[ 3.573 -3.577]
252,253,[ 3.295 -3.012]
253,254,[ 3.331 -2.449]
254,255,[ 3.72  -3.063]
255,256,[ 3.616 -2.654]
256,257,[ 2.812 -3.145]
257,258,[ 2.812 -3.38 ]
258,259,[ 3.238 -2.818]
259,260,[ 3.692 -2.697]
260,261,[ 3.522 -3.09 ]
261,262,[ 2.351 -2.991]
262,263,[ 2.706 -1.925]
263,264,[ 2.194 -2.94 ]
264,265,[ 3.1   -3.082]
265,266,[ 3.41  -2.983]
266,267,[ 3.124 -2.666]
267,268,[ 3.529 -2.959]
268,269,[ 3.309 -3.72 ]
269,270,[ 3.441 -3.841]
270,271,[ 2.233 -3.113]
271,272,[ 3.083 -3.432]
272,273,[ 2.966 -3.355]
273,274,[ 3.365 -3.406]
274,275,[ 2.76  -4.301]
275,276,[ 2.338 -3.189]
276,277,[ 4.139 -3.651]
277,278,[ 3.025 -3.41 ]
