,Iteration,Rewards
177,178000,[ 5.132 -1.413]
178,179000,[ 5.295 -2.137]
179,180000,[ 6.16  -1.748]
180,181000,[ 5.194 -0.766]
181,182000,[ 5.019 -2.105]
182,183000,[7.444 0.566]
183,184000,[ 4.18  -1.831]
184,185000,[ 7.971 -1.18 ]
185,186000,[4.751 0.4  ]
186,187000,[ 7.814 -2.554]
187,188000,[ 5.09  -2.011]
188,189000,[ 5.638 -1.558]
189,190000,[ 4.726 -1.962]
190,191000,[5.028 0.358]
191,192000,[ 4.875 -1.44 ]
192,193000,[ 4.17 -0.27]
193,194000,[ 5.647 -1.449]
194,195000,[ 7.779 -2.549]
195,196000,[ 5.634 -1.156]
196,197000,[ 4.853 -1.893]
197,198000,[ 4.717 -1.272]
198,199000,[ 4.8   -2.605]
199,200000,[ 5.492 -1.485]
200,201000,[6.131 1.054]
201,202000,[ 4.986 -1.22 ]
202,203000,[ 5.493 -0.863]
203,204000,[4.778 0.289]
204,205000,[ 4.999 -1.361]
205,206000,[ 4.645 -1.194]
206,207000,[ 5.159 -1.372]
207,208000,[ 5.166 -1.196]
208,209000,[ 7.506 -2.322]
209,210000,[ 4.927 -1.158]
210,211000,[ 5.937 -1.06 ]
211,212000,[ 4.71 -1.17]
212,213000,[ 5.274 -1.839]
213,214000,[ 5.928 -1.243]
214,215000,[ 5.244 -1.552]
215,216000,[ 4.509 -2.031]
216,217000,[ 5.278 -1.851]
217,218000,[ 5.302 -1.755]
218,219000,[ 5.371 -1.696]
219,220000,[ 5.231 -2.323]
220,221000,[ 5.23  -1.343]
221,222000,[ 5.189 -1.882]
222,223000,[ 5.555 -0.723]
223,224000,[4.879 1.082]
224,225000,[ 4.598 -2.13 ]
225,226000,[ 4.405 -0.691]
226,227000,[5.296 0.711]
227,228000,[5.054 0.679]
228,229000,[ 5.016 -1.715]
229,230000,[5.563 0.421]
230,231000,[ 5.019 -1.241]
231,232000,[ 5.178 -1.64 ]
232,233000,[ 7.193 -0.772]
233,234000,[ 4.915 -1.676]
234,235000,[ 5.191 -1.386]
235,236000,[ 4.307 -2.076]
236,237000,[ 6.167 -0.752]
237,238000,[ 4.841 -2.197]
238,239000,[ 8.416 -1.535]
239,240000,[ 5.764 -1.756]
240,241000,[ 5.923 -1.843]
241,242000,[ 4.928 -1.354]
242,243000,[ 8.127 -1.198]
243,244000,[ 8.041 -1.329]
244,245000,[ 5.615 -2.602]
245,246000,[ 4.589 -0.127]
246,247000,[ 6.147 -1.626]
247,248000,[ 5.094 -2.041]
248,249000,[ 5.723 -1.905]
249,250000,[ 5.027 -2.102]
250,251000,[ 5.02  -2.305]
251,252000,[ 5.889 -1.521]
252,253000,[ 7.977 -1.873]
253,254000,[ 5.11  -1.788]
254,255000,[ 7.051 -1.665]
255,256000,[ 5.67 -0.92]
256,257000,[ 6.105 -1.973]
257,258000,[ 8.423 -2.179]
258,259000,[5.114 0.055]
259,260000,[ 5.803 -2.146]
260,261000,[ 7.271 -0.849]
261,262000,[5.759 0.06 ]
262,263000,[5.159 1.022]
263,264000,[4.732 0.113]
264,265000,[ 5.497 -1.628]
265,266000,[ 5.338 -0.667]
266,267000,[ 6.026 -0.7  ]
267,268000,[ 5.34  -2.126]
268,269000,[ 4.766 -1.297]
269,270000,[ 5.779 -0.946]
270,271000,[ 5.208 -2.728]
271,272000,[ 6.143 -1.796]
272,273000,[5.579 0.51 ]
273,274000,[ 6.693 -1.251]
274,275000,[ 5.346 -1.608]
275,276000,[6.354 0.932]
276,277000,[5.554 0.208]
277,278000,[ 5.381 -2.236]
278,279000,[ 5.849 -2.68 ]
279,280000,[7.462 0.636]
280,281000,[ 5.508 -2.196]
281,282000,[5.156 0.692]
282,283000,[ 4.76  -1.495]
283,284000,[ 4.492 -1.689]
284,285000,[ 4.619 -1.65 ]
285,286000,[7.912 0.431]
286,287000,[ 6.537 -1.603]
287,288000,[ 5.266 -1.453]
288,289000,[ 5.012 -0.519]
289,290000,[5.511 0.564]
290,291000,[4.609 0.675]
291,292000,[ 6.196 -1.72 ]
292,293000,[ 5.769 -1.627]
293,294000,[ 5.347 -2.507]
294,295000,[ 5.699 -1.483]
295,296000,[ 5.368 -1.604]
296,297000,[ 6.74  -0.373]
297,298000,[ 5.575 -2.328]
298,299000,[ 5.171 -1.333]
299,300000,[ 4.79  -1.914]
300,301000,[ 5.518 -0.743]
301,302000,[ 5.465 -1.183]
302,303000,[ 5.887 -0.188]
303,304000,[ 5.767 -1.808]
304,305000,[ 5.427 -1.321]
305,306000,[ 7.257 -2.227]
306,307000,[ 6.479 -1.26 ]
307,308000,[ 5.908 -1.065]
308,309000,[ 4.845 -1.151]
309,310000,[ 5.457 -0.762]
310,311000,[ 5.706 -1.843]
311,312000,[ 6.248 -1.06 ]
312,313000,[ 7.088 -1.238]
313,314000,[5.973 0.447]
314,315000,[ 5.601 -0.539]
315,316000,[ 7.306 -2.201]
316,317000,[ 6.58  -1.727]
317,318000,[ 5.821 -1.74 ]
318,319000,[ 6.193 -1.754]
319,320000,[ 5.145 -0.584]
320,321000,[ 5.794 -1.281]
321,322000,[4.234 0.245]
322,323000,[4.732 0.668]
323,324000,[ 5.517 -1.625]
324,325000,[ 6.147 -1.356]
325,326000,[ 4.998 -1.534]
326,327000,[ 5.291 -0.936]
327,328000,[ 5.31  -2.368]
328,329000,[ 4.762 -2.509]
329,330000,[ 4.787 -1.161]
330,331000,[ 6.282 -1.417]
331,332000,[ 6.408 -1.143]
332,333000,[ 5.322 -1.189]
333,334000,[ 5.306 -0.612]
334,335000,[ 8.08  -1.737]
335,336000,[ 5.739 -0.685]
336,337000,[ 5.348 -1.32 ]
337,338000,[ 6.285 -1.07 ]
338,339000,[ 5.162 -0.744]
339,340000,[ 5.349 -1.427]
340,341000,[ 6.357 -1.033]
341,342000,[ 5.2   -1.318]
342,343000,[ 6.517 -1.583]
343,344000,[ 7.858 -1.768]
344,345000,[ 5.622 -1.515]
345,346000,[ 6.122 -1.235]
346,347000,[ 4.956 -2.531]
347,348000,[ 5.426 -0.77 ]
348,349000,[ 6.14  -0.951]
349,350000,[ 5.333 -1.424]
350,351000,[ 5.156 -1.193]
351,352000,[ 4.777 -0.645]
352,353000,[ 4.966 -0.815]
353,354000,[ 5.501 -1.412]
354,355000,[ 5.754 -0.196]
355,356000,[ 8.118 -1.42 ]
356,357000,[ 5.932 -1.39 ]
357,358000,[ 6.214 -0.968]
358,359000,[5.418 0.449]
359,360000,[ 5.556 -1.238]
360,361000,[ 6.559 -0.952]
361,362000,[ 5.768 -2.703]
362,363000,[ 6.033 -0.945]
363,364000,[ 5.057 -1.293]
364,365000,[ 5.524 -1.401]
365,366000,[ 6.17  -1.009]
366,367000,[ 5.362 -0.619]
367,368000,[ 5.982 -1.293]
368,369000,[ 5.336 -1.223]
369,370000,[ 5.203 -0.717]
370,371000,[ 6.867 -1.223]
371,372000,[ 5.832 -1.186]
372,373000,[ 5.376 -1.536]
373,374000,[ 5.636 -1.737]
374,375000,[ 5.899 -0.521]
375,376000,[ 5.928 -1.309]
376,377000,[ 5.674 -1.035]
377,378000,[ 7.151 -0.395]
378,379000,[ 4.955 -2.189]
379,380000,[ 5.28  -0.682]
380,381000,[ 5.119 -2.411]
381,382000,[ 6.486 -0.763]
382,383000,[ 5.672e+00 -2.000e-03]
383,384000,[ 5.636 -1.463]
384,385000,[ 5.567 -1.243]
385,386000,[ 7.63  -0.831]
386,387000,[ 5.024 -1.286]
387,388000,[ 5.37  -1.026]
388,389000,[ 5.724 -0.837]
389,390000,[ 5.741 -1.347]
390,391000,[ 5.624 -0.689]
391,392000,[ 5.381 -2.622]
392,393000,[ 5.608 -1.166]
393,394000,[ 5.975 -0.721]
394,395000,[ 6.129 -1.568]
395,396000,[ 5.94 -0.86]
