,Iteration,Exploitability
0,200,0.00276388888888901
1,400,0.001381944444444283
2,600,0.0009212962962965587
3,800,0.0006909722222223635
4,1000,0.0005527777777776244
5,1200,0.0004606481481479463
6,1400,0.00039484126984112855
7,1600,0.00034548611111118177
8,1800,0.0003070987654318902
9,2000,0.0002763888888888122
10,2200,0.00025126262626251616
11,2400,0.00023032407407397315
12,2600,0.00021260683760671029
13,2800,0.00019742063492089734
14,3000,0.00018425925925935616
15,3200,0.00017274305555536884
16,3400,0.00016258169934668665
17,3600,0.00015354938271627816
18,3800,0.00014546783625712933
19,4000,0.00013819444444451712
20,4200,0.00013161375661385755
21,4400,0.00012563131313148013
22,4600,0.0001201690821255319
23,4800,0.00011516203703698658
24,5000,0.0001105555555556137
25,5200,0.0001063034188031331
26,5400,0.00010236625514403741
27,5600,9.87103174605597e-05
28,5800,9.53065134099429e-05
29,6000,9.212962962967808e-05
30,6200,8.915770609330131e-05
31,6400,8.637152777812851e-05
32,6600,8.375420875417205e-05
33,6800,8.129084967345435e-05
34,7000,7.896825396835894e-05
35,7200,7.677469135836112e-05
36,7400,7.469969969964296e-05
37,7600,7.273391812878671e-05
38,7800,7.086894586905146e-05
39,8000,6.909722222214754e-05
40,8200,6.74119241192983e-05
41,8400,6.580687830681775e-05
42,8600,6.427648578832823e-05
43,8800,6.281565656562904e-05
44,9000,6.141975308637804e-05
45,9200,6.008454106276595e-05
46,9400,5.8806146571832585e-05
47,9600,5.758101851860431e-05
48,9800,5.640589569155807e-05
49,10000,5.527777777780685e-05
50,10200,5.419389978222888e-05
51,10400,5.315170940156655e-05
52,10600,5.214884696025379e-05
53,10800,5.1183127572018705e-05
54,11000,5.025252525259205e-05
55,11200,4.935515872994678e-05
56,11400,4.848927875245046e-05
57,11600,4.7653256704860425e-05
58,11800,4.6845574387832656e-05
59,12000,4.6064814814616994e-05
60,12200,4.530965391613684e-05
61,12400,4.4578853046539635e-05
62,12600,4.387125220461918e-05
63,12800,4.318576388873119e-05
64,13000,4.252136752125324e-05
65,13200,4.187710437708603e-05
66,13400,4.125207296845623e-05
67,13600,4.064542483672717e-05
68,13800,4.005636070858465e-05
69,14000,3.9484126983957424e-05
70,14200,3.892801251970113e-05
71,14400,3.838734567906954e-05
72,14600,3.7861491628543575e-05
73,14800,3.734984984982148e-05
74,15000,3.685185185187123e-05
75,15200,3.6366959064393356e-05
76,15400,3.589466089448656e-05
77,15600,3.543447293452573e-05
78,15800,3.498593530237848e-05
79,16000,3.454861111129581e-05
80,16200,3.4122085047938455e-05
81,16400,3.370596205964915e-05
82,16600,3.329986613143099e-05
83,16800,3.29034391535199e-05
84,17000,3.2516339869115285e-05
85,17200,3.213824289405309e-05
86,17400,3.1768837803092254e-05
87,17600,3.140782828281452e-05
88,17800,3.1054931335816605e-05
89,18000,3.070987654330004e-05
90,18200,3.0372405372292022e-05
91,18400,3.0042270531271953e-05
92,18600,2.971923536443377e-05
93,18800,2.9403073286138337e-05
94,19000,2.909356725133705e-05
95,19200,2.879050925908011e-05
96,19400,2.8493699885556723e-05
97,19600,2.820294784600108e-05
98,19800,2.791806958457599e-05
99,20000,2.7638888888903423e-05
